,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
280,16604836,The Outpost Retreat & Toolshed bar,Noojee,"38 Loch Valley Road, Noojee",Noojee,-37.8911980000,146.0037790000,3833,Bar Food,2,20,4.9,Excellent,48,25
281,16609847,Byblos Restaurant & Bar,Gosford,"124 Donnison St, Gosford",Gosford,-33.4269370000,151.3428800000,2250,Middle Eastern,2,20,4.9,Excellent,46,22
282,16608168,Pipers of Penola,Penola,"58 Riddoch St, Penola",Penola,-37.3797649000,140.8386923000,5277,Modern Australian,3,30,4.9,Excellent,44,20
283,16608261,The Barn Steakhouse,Mount Gambier,"747 Glenelg River Rd, Mt Gambier, Mount Gambier",Mount Gambier,-37.8195480286,140.6435394287,05290,Steak,2,20,4.9,Excellent,112,56
284,16604731,Parker Street Project at Royal Mail Hotel,Dunkeld,"98 Parker Street, Dunkeld, VIC",Dunkeld,-37.6491777000,142.3396794000,,"International, Modern Australian",3,30,4.9,Excellent,338,141
285,17483280,Clyde's Drive-In,St Ignace,"3 US 2 W, St Ignace 49781",St Ignace,45.8585570000,-84.7195000000,49781,"American, Burger",1,10,4.9,Excellent,68,25
286,16607273,Bastoni Pizzeria,Myrtleford,"Entrance On Great Alpine Rd Next To The Myrtleford Piazza, Myrtleford, Myrtleford",Myrtleford,-36.5607870000,146.7247800000,3737,Pizza,2,20,4.9,Excellent,46,28
287,17497170,Old Country Store,Port Gibson,"18801 Highway 61, Lorman 39150",Port Gibson,31.8409260000,-91.0275140000,39150,"BBQ, Southern",2,25,4.9,Excellent,41,20
288,17280355,Dusit Thai Cuisine,Mountain Home,"920 Hwy 62 E, Mountain Home 72653",Mountain Home,36.3487800000,-92.3728150000,72653,"Asian, Thai",1,10,4.9,Excellent,98,46
289,16586014,Minamishima,Richmond,"4 Lord Street, Richmond, Melbourne, VIC",Melbourne,-37.8198314176,145.0051938370,3121,"Japanese, Sushi",4,450,4.9,Excellent,748,290
290,16608088,Maggie Beer's Farm Shop,Nuriootpa,"Maggie Beers Farm End Of Pheasant Farm Rd, Nuriootpa",Nuriootpa,-34.4824980000,138.9747160000,5355,Modern Australian,2,20,4.9,Excellent,258,99
291,208850,Trèsind,"Voco Hotel, Trade Centre Area","Level 2, Voco Hotel, Sheikh Zayad Road, Trade Centre Area, Dubai",Dubai,25.2234237523,55.2824869752,,"Contemporary, Indian",4,500,4.9,Excellent,2323,1449
292,16613654,Coast,Hervey Bay,"469 Esplanade, Hervey Bay",Hervey Bay,-25.2826054000,152.8804635000,4655,Modern Australian,3,30,4.9,Excellent,109,42
293,16604911,Bridge Road Brewers,Beechworth,"Old Coach House 50 Ford St, Beechworth, Beechworth",Beechworth,-36.3604390000,146.6858520000,3747,"Pizza, Bar Food",2,20,4.9,Excellent,184,99
294,16605021,Timboon Railway Shed Distillery Restaurant,Timboon,"1 Bailey St, Timboon",Timboon,-38.4842614000,142.9785745000,3268,"Coffee and Tea, Desserts, Modern Australian",2,20,4.9,Excellent,85,50
295,17656118,Mary's Tacos,Kerrville,"1616 Broadway, Kerrville 78028",Kerrville,30.0367920000,-99.1345590000,78028,"Breakfast, Mexican",1,10,4.9,Excellent,60,20
296,5601628,Laffah Cafeteria - كافتيريا لفاح,Al Majaz,"Ground Floor, Al Hikma Building, Street 29, Al Majaz, Sharjah",Sharjah,25.3239804487,55.3806075454,,"Fast Food, Arabian, Middle Eastern",1,35,4.9,Excellent,910,370
297,17410322,The Shanty Restaurant,Wadsworth,"38995 N US Highway 41, Wadsworth 60083",Wadsworth,42.4288000000,-87.9378000000,60083,"American, Burger, Steak",3,40,4.9,Excellent,55,17
298,16647187,From Scratch A Mountain Kitchen,Fairmont Hot Springs,"8 5019 Fairmont Resort Rd, Fairmont Hot Springs",Fairmont Hot Springs,50.3356159000,-115.8543552000,,"American, Pizza, Sandwich",2,25,4.9,Excellent,43,22
299,16605545,Thai-Riffic,Mildura,"35 Langtree Avenue, Mildura",Mildura,-34.1835508000,142.1620367000,3500,Thai,2,20,4.9,Excellent,72,37
